"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"men's clothing","Innerwear",3.78395151076533,0.834060342014872,3.9,5,216.135154695132,2533.82621992372,8,5,567.203120137507,609.28250518021,450,299,838.730741812929,782.238377366583,687,999,2389158,5065225910.01
"men's clothing","Jeans",3.55199579831933,0.953293533128452,3.6,5,121.363795518209,1742.38896274678,5,5,1424.71814600841,952.170569155865,1299,1499,2826.03100490196,1330.38131698562,2799,2999,693230,2367213962.5
"men's clothing","Shirts",3.7566280904787,0.870072027150404,3.8,5,74.1235314746543,656.959418261058,6,5,1009.61087673152,601.855314769681,899,499,2066.1675013151,805.252854481065,1999,1999,845453,924107709.830001
"men's clothing","T-shirts & Polos",3.85177477618973,0.782844148684249,3.9,5,110.034396104935,917.626668368092,8,5,625.109023087791,408.281331213484,525,499,1359.25886131616,696.94289792033,1199,999,1401178,859096793.640001
"men's shoes","Casual Shoes",3.58760184201204,0.896981439375705,3.7,5,231.887619553642,2399.81101605876,10,5,2073.46254870698,2652.7346976477,1424.025,499,3553.66181721581,3142.36536217037,2995,999,2618475,9527875149.28
"men's shoes","Formal Shoes",3.57200255102041,0.925716817503819,3.7,5,85.8987563775561,479.096775290932,7,5,2230.14905931125,3619.48795664146,1399,999,3726.40231983424,3952.37829977594,2990,999,538757,1438944271.33
"men's shoes","Sports Shoes",3.71076631977294,0.824916800399636,3.8,4,257.194796594157,1905.58519543787,14,4,2780.83681835375,4879.8260764343,1259,499,3917.24781929999,5120.50720449087,1999,999,2718549,9954852439.39
"music","Musical Instruments & Professional Audio",3.96068376068376,0.814067947019367,4.1,5,345.932844932844,1510.20284640639,13,5,4568.24871794872,9026.46088119647,1299,299,6273.51805860806,11282.9225658285,1999,999,283319,1699033217.19
"pet supplies","All Pet Supplies",4.00978441127695,0.591203895849436,4.1,4.2,813.07628524046,3111.12767115037,62,4.2,622.55232172471,758.896015234928,395,249,1005.53565505804,1254.57741424933,600,299,490285,408524085.08
"pet supplies","Dog supplies",4.04460966542751,0.662289858094439,4.1,4,586.635687732343,4054.79053943909,21,4,777.40677819083,1149.00689187952,424,299,1203.10285006196,1756.33045879064,650,999,473415,678956504.33
"sports & fitness","All Exercise & Fitness",3.90409523809524,0.57226357236808,4,4,755.019047619032,3221.94716476315,59,4,1008.19337142857,2399.13492594805,509.5,499,2232.53527619047,5449.9654620533,1149,999,792770,922698989.64
"sports & fitness","All Sports, Fitness & Outdoors",3.87996560619089,0.525660963018486,3.9,4,645.895958727429,2318.9017142653,88,4,1195.95569217541,3073.93668109724,503.16,499,2400.93701633706,5803.8588115966,1049,999,751177,896950042.73
"sports & fitness","Badminton",3.59714285714286,0.876080964947223,3.6,5,90.1558441558441,663.295891130812,6,5,2023.21576623377,3109.29962756135,825,1099,2944.78441558442,4272.09686668013,1249,999,34710,372383998.27
